,poseł,klub/koło,Liczba wypowiedzi (W tym jako członka RM)
343,Ewa Malik,PiS,20
344,Marek Rząsa,KO,20
345,Anna Maria Siarkowska,PiS,20
346,Ryszard Terlecki,PiS,20
347,Bartłomiej Wróblewski,PiS,20
348,Jan Duda,PiS,18
349,Zbigniew Konwiński,KO,18
350,Antoni Macierewicz,PiS,18(2)
351,Izabela Katarzyna Mrzygłocka,KO,18
352,Jacek Sasin,PiS,18(18)
353,Katarzyna Sójka,PiS,18
354,Jacek Świat,PiS,18
355,Iwona Arent,PiS,17
356,Michał Dworczyk,PiS,17(16)
357,Michał Jach,PiS,17
358,Urszula Pasławska,KP,17
359,Grzegorz Piechowiak,PiS,17(16)
360,Artur Szałabawka,PiS,17
361,Adam Andruszkiewicz,PiS,16(16)
362,Mieczysław Baszko,PiS,16
363,Leszek Dobrzyński,PiS,16
364,Piotr Gliński,PiS,16(16)
365,Mariusz Kamiński,PiS,16(16)
366,Jan Kanthak,PiS,16(7)
367,Grzegorz Napieralski,KO,16
368,Andrzej Sośnierz,PS,16
369,Piotr Uruski,PiS,16
370,Agata Katarzyna Wojtyszek,PiS,16
371,Michał Wypij,niez.,16
372,Krzysztof Czarnecki,PiS,15
373,Kinga Gajewska,KO,15
374,Kazimierz Gołojuch,PiS,15
375,Małgorzata Gosiewska,PiS,15
376,Kazimierz Gwiazdowski,PiS,15
377,Wiesław Krajewski,PiS,15
378,Łukasz Mejza,niez.,15
379,Wojciech Murdzek,PiS,15(15)
380,Robert Tyszkiewicz,KO,15
381,Paweł Bejda,KP,14
382,Przemysław Drabek,PiS,14
383,Jarosław Kaczyński,PiS,14(8)
384,Marzena Machałek,PiS,14(13)
385,Szymon Pogoda,PiS,14
386,Dariusz Stefaniuk,PiS,14
387,Zbigniew Girzyński,PS,13
388,Joanna Kluzik-Rostkowska,KO,13
389,Tomasz Lenz,KO,13
390,Jerzy Materna,PiS,13
391,Sławomir Jan Piechota,KO,13
392,Kacper Płażyński,PiS,13
393,Wojciech Szarama,PiS,13
394,Mariusz Witczak,KO,13
395,Jerzy Bielecki,PiS,12
396,Rafał Bochenek,PiS,12
397,Jolanta Fedak,KP,12
398,Tadeusz Zwiefka,KO,12
399,Teresa Hałas,PiS,11
400,Marta Kubiak,PiS,11
401,Anna Wasilewska,KO,11
402,Piotr Zgorzelski,KP,11
403,Piotr Benedykt Zientarski,KO,11
404,Arkadiusz Czartoryski,PiS,10(4)
405,Jarosław Gowin,Porozumienie,10
406,Andrzej Gut-Mostowy,PiS,10(10)
407,Anna Krupka,PiS,10(8)
408,Rafał Romanowski,PiS,10(9)
409,Anna Schmidt,PiS,10(10)
410,Janusz Śniadek,PiS,10
411,Marek Zagórski,PiS,10(9)
412,Zbigniew Ziobro,PiS,10(10)
413,Zbigniew Chmielowiec,PiS,9
414,Krzysztof Kubów,PiS,9
415,Krzysztof Sobolewski,PiS,9
416,Jarosław Wałęsa,KO,9
417,Marek Wesoły,PiS,9
418,Elżbieta Zielińska,PiS,9
419,Włodzimierz Czarzasty,Lewica,8
420,Grzegorz Gaża,PiS,8
421,Filip Kaczyński,PiS,8
422,Danuta Nowicka,PiS,8
423,Eugeniusz Czykwin,KO,7
424,Krzysztof Głuchowski,PiS,7
425,Marcin Gwóźdź,PiS,7
426,Riad Haidar,KO,7
427,Zbigniew Rau,PiS,7(6)
428,Tomasz Siemoniak,KO,7
429,Łukasz Szumowski,PiS,7(7)
430,Marcin Duszek,PiS,6
431,Wojciech Kossakowski,PiS,6
432,Iwona Kurowska,PiS,6
433,Grzegorz Schetyna,KO,6
434,Stanisław Tyszka,Konfederacja,6
435,Małgorzata Wassermann,PiS,6
436,Jacek Żalek,PiS,6(5)
437,Zbigniew Ajchler,niez.,5
438,Tomasz Aniśko,KO,5
439,Jan Krzysztof Ardanowski,PiS,5(5)
440,Kamil Bortniczuk,PiS,5(1)
441,Adam Cyrański,KO,5
442,Jan Grabiec,KO,5
443,Marek Kwitek,PiS,5
444,Paweł Olszewski,KO,5
445,Sławomir Zawiślak,PiS,5
446,Jan Dziedziczak,PiS,4
447,Bartosz Kownacki,PiS,4
448,Killion Munyama,KO,4
449,Adam Ołdakowski,PiS,4
450,Michał Cieślak,PiS,3(1)
451,Beata Mateusiak-Pielucha,PiS,3
452,Kazimierz Matuszny,PiS,3
453,Jerzy Borowczak,KO,2
454,Zbigniew Grzegorz Hoffmann,PiS,2
455,Małgorzata Janowska,PiS,2
456,Leszek Kowalczyk,PiS,2
457,Waldemar Olejniczak,PiS,2
458,Jacek Osuch,PiS,2(2)
459,Przemysław Czarnecki,PiS,1
460,Władysław Dajczak,PiS,1
461,Lech Kołakowski,PiS,1
462,Leonard Krasulski,PiS,1
463,Paweł Kukiz,Kukiz15,1
464,Aleksandra Łapiak,PiS,1
465,Marcin Ociepa,PiS,1(1)
466,Dominik Tarczyński,PiS,1
